Reuters10,Reuters48,TDT2,20 news groups,Yale FaceD
31.253,34.407,64.443,93.486,7.963
31.159,34.338,64.226,93.183,7.9426
31.085,34.286,64.163,92.797,7.8244
31.031,34.211,64.061,92.432,7.7504
30.988,34.086,63.548,92.129,7.5777
30.758,33.96,63.428,91.699,7.5123
30.639,33.84,63.322,91.633,7.3769
30.577,33.77,63.171,90.62,7.305
30.455,33.629,62.873,90.411,7.2753
30.386,33.586,62.693,90.338,7.1685
30.252,33.439,62.556,89.809,7.1129
30.181,33.366,62.146,89.454,6.9998
30.102,33.289,62.029,88.77,6.9331
30.081,33.146,61.91,88.431,6.9072
29.98,33.048,61.768,88.243,6.7563
29.848,33.011,61.704,88.074,6.4156
29.761,32.946,61.534,87.818,6.1236
29.687,32.888,61.32,87.233,5.9366
29.624,32.876,61.025,87.124,3.08E-14
29.545,32.749,60.85,86.901,7.23E-15
29.514,32.613,60.752,86.439,1.58E-15
29.405,32.605,60.737,86.028,0
29.272,32.406,60.437,85.715,0
29.136,32.274,60.359,85.311,0
29.068,32.148,60.219,85.166,0
28.989,32.07,60.114,84.81,0
28.871,32.043,59.755,84.65,0
28.855,31.967,59.618,84.46,0
28.794,31.864,59.483,84.12,0
28.723,31.809,59.36,83.858,0
28.599,31.751,59.136,83.449,0
28.502,31.659,58.93,83.281,0
28.444,31.61,58.731,82.971,0
28.434,31.565,58.469,82.548,0
28.339,31.489,58.438,82.351,0
28.327,31.447,58.236,82.214,0
28.249,31.335,58.128,81.629,0
28.173,31.199,58.076,81.421,0
28.12,31.117,57.983,81.289,0
28.082,31.048,57.887,81.166,0
28.017,30.98,57.669,81.012,0
27.958,30.921,57.499,80.723,0
27.849,30.849,57.441,80.529,0
27.809,30.695,57.201,80.276,0
27.744,30.643,57.169,80.059,0
27.58,30.551,56.994,79.825,0
27.516,30.531,56.863,79.626,0
27.486,30.39,56.668,79.443,0
27.391,30.328,56.628,79.189,0
27.333,30.301,56.387,79.029,0
27.262,30.219,56.325,78.819,0
27.197,30.173,56.198,78.658,0
27.148,30.034,56.019,78.338,0
27.077,29.976,55.983,78.125,0
27.045,29.916,55.803,77.95,0
26.999,29.885,55.685,77.792,0
26.978,29.821,55.589,77.616,0
26.867,29.744,55.455,77.132,0
26.763,29.727,55.405,76.92,0
26.752,29.563,55.209,76.747,0
26.675,29.519,55.073,76.694,0
26.667,29.459,55.016,76.534,0
26.565,29.405,54.848,76.323,0
26.513,29.374,54.753,76.101,0
26.492,29.337,54.606,75.6,0
26.371,29.241,54.563,75.557,0
26.309,29.165,54.45,75.4,0
26.266,29.11,54.292,75.085,0
26.235,28.988,54.179,74.996,0
26.12,28.946,54.009,74.778,0
26.06,28.908,53.929,74.477,0
25.991,28.88,53.898,74.435,0
25.919,28.735,53.785,74.289,0
25.879,28.722,53.711,73.991,0
25.786,28.67,53.612,73.88,0
25.761,28.582,53.361,73.62,0
25.73,28.527,53.293,73.476,0
25.692,28.509,53.281,73.324,0
25.646,28.434,53.117,73.186,0
25.579,28.374,53.005,72.991,0
25.542,28.328,52.951,72.801,0
25.517,28.224,52.773,72.573,0
25.443,28.075,52.633,72.41,0
25.391,28.06,52.534,72.236,0
25.344,28.01,52.428,72.183,0
25.221,27.956,52.294,71.874,0
25.199,27.879,52.244,71.672,0
25.164,27.832,52.204,71.542,0
25.102,27.801,52.115,71.38,0
24.998,27.777,52.078,71.146,0
24.982,27.729,51.951,70.913,0
24.905,27.675,51.918,70.761,0
24.825,27.574,51.766,70.643,0
24.806,27.47,51.719,70.533,0
24.763,27.457,51.691,70.444,0
24.726,27.401,51.607,70.258,0
24.671,27.357,51.507,70.013,0
24.586,27.345,51.429,69.788,0
24.531,27.275,51.271,69.737,0
24.526,27.235,51.221,69.464,0
24.422,27.21,50.99,69.363,0
24.348,27.086,50.908,69.259,0
24.312,27.041,50.9,69.188,0
24.247,26.949,50.79,68.962,0
24.224,26.906,50.632,68.766,0
24.163,26.881,50.565,68.686,0
24.118,26.861,50.505,68.497,0
24.091,26.819,50.378,68.456,0
24.049,26.745,50.309,68.245,0
24.002,26.717,50.184,68.032,0
23.944,26.673,50.08,67.996,0
23.901,26.598,50.009,67.82,0
23.842,26.583,49.9,67.7,0
23.791,26.52,49.822,67.495,0
23.749,26.423,49.737,67.449,0
23.705,26.359,49.633,67.258,0
23.698,26.313,49.617,67.14,0
23.629,26.255,49.564,67.002,0
23.602,26.22,49.389,66.876,0
23.492,26.167,49.34,66.614,0
23.416,26.14,49.309,66.496,0
23.369,26.083,49.172,66.329,0
23.35,26.08,49.091,66.265,0
23.332,25.988,49.045,66.133,0
23.254,25.91,49.013,66.107,0
23.214,25.862,48.858,65.974,0
23.203,25.854,48.69,65.915,0
23.076,25.802,48.649,65.801,0
23.059,25.706,48.613,65.631,0
23.046,25.649,48.505,65.514,0
23.029,25.623,48.464,65.336,0
22.959,25.58,48.411,65.252,0
22.912,25.537,48.251,65.203,0
22.862,25.456,48.191,65.107,0
22.85,25.44,48.162,65.012,0
22.808,25.424,48.086,64.918,0
22.791,25.369,48.024,64.752,0
22.754,25.305,47.934,64.702,0
22.67,25.239,47.861,64.265,0
22.65,25.187,47.811,64.217,0
22.57,25.161,47.743,64.175,0
22.55,25.134,47.651,63.989,0
22.518,25.094,47.568,63.91,0
22.496,25.038,47.498,63.823,0
22.467,25.004,47.454,63.742,0
22.422,24.965,47.388,63.553,0
22.408,24.887,47.344,63.543,0
22.33,24.852,47.273,63.341,0
22.303,24.807,47.16,63.163,0
22.288,24.748,47.082,63.072,0
22.252,24.689,47.012,63.021,0
22.172,24.631,46.902,62.912,0
22.128,24.614,46.813,62.81,0
22.111,24.576,46.792,62.689,0
22.101,24.566,46.688,62.587,0
22.038,24.534,46.654,62.543,0
22.009,24.416,46.608,62.426,0
21.907,24.399,46.542,62.223,0
21.859,24.345,46.478,62.128,0
21.818,24.317,46.444,62.055,0
21.794,24.278,46.353,61.964,0
21.752,24.241,46.329,61.807,0
